PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(US),TRX_LAYER_ARRIVAL_TIME(US),NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_ARRIVAL_TIME(US),PHY_LAYER_START_TIME(US),PHY_LAYER_END_TIME(US),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,LOCAL_ADDRESS,REMOTE_ADDRESS,CWND,SEQ_NO,ACK_NO,isSyn,isAck,isFin,SEGMENT_LEN,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,
0,N/A,Control_Packet,TCP_SYN,NODE-2,NODE-1,NODE-2,SWITCH-3,N/A,20000.000,20000.000,20000.000,20000.000,20005.600,20010.600,N/A,0.000,24.000,44.000,70.000,0.000,Successful,192.168.10.81:82,192.168.10.80:36934,65535,5000,0,True,False,False,0,192.168.10.81,192.168.10.80,192.168.10.81,192.168.10.80,
0,N/A,Control_Packet,TCP_SYN,NODE-2,NODE-1,SWITCH-3,NODE-1,N/A,20000.000,20000.000,20000.000,20010.600,20016.200,20021.200,N/A,0.000,24.000,44.000,70.000,0.000,Successful,192.168.10.81:82,192.168.10.80:36934,65535,5000,0,True,False,False,0,192.168.10.81,192.168.10.80,192.168.10.81,192.168.10.80,
0,N/A,Control_Packet,TCP_SYNACK,NODE-1,NODE-2,NODE-1,SWITCH-3,N/A,20021.200,20021.200,20021.200,20021.200,20026.800,20031.800,N/A,0.000,24.000,44.000,70.000,0.000,Successful,192.168.10.80:36934,192.168.10.81:82,4380,5005,5001,True,True,False,0,192.168.10.80,192.168.10.81,192.168.10.80,192.168.10.81,
0,N/A,Control_Packet,TCP_SYNACK,NODE-1,NODE-2,SWITCH-3,NODE-2,N/A,20021.200,20021.200,20021.200,20031.800,20037.400,20042.400,N/A,0.000,24.000,44.000,70.000,0.000,Successful,192.168.10.80:36934,192.168.10.81:82,4380,5005,5001,True,True,False,0,192.168.10.80,192.168.10.81,192.168.10.80,192.168.10.81,
0,N/A,Control_Packet,TCP_ACK,NODE-2,NODE-1,NODE-2,SWITCH-3,N/A,20042.400,20042.400,20042.400,20042.400,20047.680,20052.680,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.168.10.81:82,192.168.10.80:36934,4380,5001,5006,False,True,False,0,192.168.10.81,192.168.10.80,192.168.10.81,192.168.10.80,
0,N/A,Control_Packet,TCP_ACK,NODE-2,NODE-1,SWITCH-3,NODE-1,N/A,20042.400,20042.400,20042.400,20052.680,20057.960,20062.960,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.168.10.81:82,192.168.10.80:36934,4380,5001,5006,False,True,False,0,192.168.10.81,192.168.10.80,192.168.10.81,192.168.10.80,
1,0,CBR,APP1_CBR,NODE-2,NODE-1,NODE-2,SWITCH-3,20000.000,0.000,20042.400,20042.400,20048.640,20170.720,20175.720,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,192.168.10.81:82,192.168.10.80:36934,4380,5001,0,False,False,False,1460,192.168.10.81,192.168.10.80,192.168.10.81,192.168.10.80,
1,0,CBR,APP1_CBR,NODE-2,NODE-1,SWITCH-3,NODE-1,20000.000,0.000,20042.400,20042.400,20175.720,20297.800,20302.800,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,192.168.10.81:82,192.168.10.80:36934,4380,5001,0,False,False,False,1460,192.168.10.81,192.168.10.80,192.168.10.81,192.168.10.80,
0,N/A,Control_Packet,TCP_ACK,NODE-1,NODE-2,NODE-1,SWITCH-3,N/A,20302.800,20302.800,20302.800,20302.800,20308.080,20313.080,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.168.10.80:36934,192.168.10.81:82,4381,5006,6461,False,True,False,0,192.168.10.80,192.168.10.81,192.168.10.80,192.168.10.81,
0,N/A,Control_Packet,TCP_ACK,NODE-1,NODE-2,SWITCH-3,NODE-2,N/A,20302.800,20302.800,20302.800,20313.080,20318.360,20323.360,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.168.10.80:36934,192.168.10.81:82,4381,5006,6461,False,True,False,0,192.168.10.80,192.168.10.81,192.168.10.80,192.168.10.81,
