PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(US),TRX_LAYER_ARRIVAL_TIME(US),NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_ARRIVAL_TIME(US),PHY_LAYER_START_TIME(US),PHY_LAYER_END_TIME(US),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,LOCAL_ADDRESS,REMOTE_ADDRESS,CWND,SEQ_NO,ACK_NO,isSyn,isAck,isFin,SEGMENT_LEN,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,
1,1,Video,APP1_VIDEO,NODE-2,NODE-3,NODE-2,SWITCH-1,33333.332,33333.332,33333.332,33333.332,33333.332,33454.452,33459.452,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,
1,2,Video,APP1_VIDEO,NODE-2,NODE-3,NODE-2,SWITCH-1,33333.332,33333.332,33333.332,33333.332,33455.412,33573.172,33578.172,1418.000,1418.000,1426.000,1446.000,1472.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,
1,1,Video,APP1_VIDEO,NODE-2,NODE-3,SWITCH-1,NODE-3,33333.332,33333.332,33333.332,33333.332,33459.452,33580.572,33585.572,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,
1,2,Video,APP1_VIDEO,NODE-2,NODE-3,SWITCH-1,NODE-3,33333.332,33333.332,33333.332,33333.332,33581.532,33699.292,33704.292,1418.000,1418.000,1426.000,1446.000,1472.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,
1,0,Video,APP2_VIDEO,NODE-4,NODE-5,NODE-4,SWITCH-1,50000.000,50000.000,50000.000,50000.000,50000.000,50038.880,50043.880,432.000,432.000,440.000,460.000,486.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0.1.4,10.0.1.5,10.0.1.4,10.0.1.5,
1,0,Video,APP2_VIDEO,NODE-4,NODE-5,SWITCH-1,NODE-5,50000.000,50000.000,50000.000,50000.000,50043.880,50082.760,50087.760,432.000,432.000,440.000,460.000,486.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0.1.4,10.0.1.5,10.0.1.4,10.0.1.5,
2,1,Video,APP1_VIDEO,NODE-2,NODE-3,NODE-2,SWITCH-1,66666.664,66666.664,66666.664,66666.664,66666.664,66787.784,66792.784,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,
2,2,Video,APP1_VIDEO,NODE-2,NODE-3,NODE-2,SWITCH-1,66666.664,66666.664,66666.664,66666.664,66788.744,66909.864,66914.864,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,
2,1,Video,APP1_VIDEO,NODE-2,NODE-3,SWITCH-1,NODE-3,66666.664,66666.664,66666.664,66666.664,66792.784,66913.904,66918.904,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,
2,3,Video,APP1_VIDEO,NODE-2,NODE-3,NODE-2,SWITCH-1,66666.664,66666.664,66666.664,66666.664,66910.824,67031.944,67036.944,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,
2,2,Video,APP1_VIDEO,NODE-2,NODE-3,SWITCH-1,NODE-3,66666.664,66666.664,66666.664,66666.664,66914.864,67035.984,67040.984,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,
2,4,Video,APP1_VIDEO,NODE-2,NODE-3,NODE-2,SWITCH-1,66666.664,66666.664,66666.664,66666.664,67032.904,67154.024,67159.024,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,
2,3,Video,APP1_VIDEO,NODE-2,NODE-3,SWITCH-1,NODE-3,66666.664,66666.664,66666.664,66666.664,67036.944,67158.064,67163.064,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,
2,5,Video,APP1_VIDEO,NODE-2,NODE-3,NODE-2,SWITCH-1,66666.664,66666.664,66666.664,66666.664,67154.984,67190.424,67195.424,389.000,389.000,397.000,417.000,443.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,
2,4,Video,APP1_VIDEO,NODE-2,NODE-3,SWITCH-1,NODE-3,66666.664,66666.664,66666.664,66666.664,67159.024,67280.144,67285.144,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,
2,5,Video,APP1_VIDEO,NODE-2,NODE-3,SWITCH-1,NODE-3,66666.664,66666.664,66666.664,66666.664,67281.104,67316.544,67321.544,389.000,389.000,397.000,417.000,443.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,
0,N/A,Control_Packet,TCP_SYN,NODE-10,NODE-11,NODE-10,SWITCH-1,N/A,100000.000,100000.000,100000.000,100000.000,100005.600,100010.600,N/A,0.000,24.000,44.000,70.000,0.000,Successful,10.0.1.10:53924,10.0.1.11:48928,65535,25000,0,True,False,False,0,10.0.1.10,10.0.1.11,10.0.1.10,10.0.1.11,
0,N/A,Control_Packet,TCP_SYN,NODE-10,NODE-11,SWITCH-1,NODE-11,N/A,100000.000,100000.000,100000.000,100010.600,100016.200,100021.200,N/A,0.000,24.000,44.000,70.000,0.000,Successful,10.0.1.10:53924,10.0.1.11:48928,65535,25000,0,True,False,False,0,10.0.1.10,10.0.1.11,10.0.1.10,10.0.1.11,
