PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(US),TRX_LAYER_ARRIVAL_TIME(US),NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_ARRIVAL_TIME(US),PHY_LAYER_START_TIME(US),PHY_LAYER_END_TIME(US),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,LOCAL_ADDRESS,REMOTE_ADDRESS,CWND,SEQ_NO,ACK_NO,isSyn,isAck,isFin,SEGMENT_LEN,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,
0,0,Control_Packet,OSPF_HELLO,ROUTER-3,ROUTER-7,ROUTER-3,ROUTER-7,0.000,0.000,0.000,0.000,0.000,0.000,59.400,48.000,48.000,48.000,68.000,68.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.3.1.2,11.3.1.1,11.3.1.2,11.3.1.1,
0,0,Control_Packet,OSPF_HELLO,ROUTER-4,ROUTER-3,ROUTER-4,ROUTER-3,0.000,0.000,0.000,0.000,0.000,0.000,59.400,48.000,48.000,48.000,68.000,68.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.4.1.2,11.4.1.1,11.4.1.2,11.4.1.1,
0,0,Control_Packet,OSPF_HELLO,ROUTER-5,ROUTER-4,ROUTER-5,ROUTER-4,0.000,0.000,0.000,0.000,0.000,0.000,59.400,48.000,48.000,48.000,68.000,68.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.5.1.2,11.5.1.1,11.5.1.2,11.5.1.1,
0,0,Control_Packet,OSPF_HELLO,ROUTER-6,ROUTER-5,ROUTER-6,ROUTER-5,0.000,0.000,0.000,0.000,0.000,0.000,59.400,48.000,48.000,48.000,68.000,68.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.6.1.2,11.6.1.1,11.6.1.2,11.6.1.1,
0,0,Control_Packet,OSPF_HELLO,ROUTER-7,ROUTER-3,ROUTER-7,ROUTER-3,0.000,0.000,0.000,0.000,0.000,0.000,59.400,48.000,48.000,48.000,68.000,68.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.3.1.1,11.3.1.2,11.3.1.1,11.3.1.2,
0,0,Control_Packet,OSPF_HELLO,ROUTER-8,ROUTER-9,ROUTER-8,ROUTER-9,0.000,0.000,0.000,0.000,0.000,0.000,32.200,48.000,48.000,48.000,68.000,68.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.10.1.1,11.10.1.2,11.10.1.1,11.10.1.2,
0,0,Control_Packet,OSPF_HELLO,ROUTER-9,ROUTER-10,ROUTER-9,ROUTER-10,0.000,0.000,0.000,0.000,0.000,0.000,32.200,48.000,48.000,48.000,68.000,68.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.9.1.1,11.9.1.2,11.9.1.1,11.9.1.2,
0,0,Control_Packet,OSPF_HELLO,ROUTER-10,ROUTER-11,ROUTER-10,ROUTER-11,0.000,0.000,0.000,0.000,0.000,0.000,32.200,48.000,48.000,48.000,68.000,68.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.8.1.1,11.8.1.2,11.8.1.1,11.8.1.2,
0,0,Control_Packet,OSPF_HELLO,ROUTER-11,ROUTER-6,ROUTER-11,ROUTER-6,0.000,0.000,0.000,0.000,0.000,0.000,59.400,48.000,48.000,48.000,68.000,68.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.7.1.2,11.7.1.1,11.7.1.2,11.7.1.1,
0,0,Control_Packet,OSPF_HELLO,ROUTER-12,ROUTER-7,ROUTER-12,ROUTER-7,0.000,0.000,0.000,0.000,0.000,0.000,10.440,48.000,48.000,48.000,68.000,68.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.13.1.2,11.13.1.1,11.13.1.2,11.13.1.1,
0,0,Control_Packet,OSPF_HELLO,ROUTER-3,ROUTER-4,ROUTER-3,ROUTER-4,0.000,0.000,0.000,0.000,0.000,0.000,59.400,48.000,48.000,48.000,68.000,68.000,0.000,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.4.1.1,11.4.1.2,11.4.1.1,11.4.1.2,
