PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(US),TRX_LAYER_ARRIVAL_TIME(US),NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_ARRIVAL_TIME(US),PHY_LAYER_START_TIME(US),PHY_LAYER_END_TIME(US),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,LOCAL_ADDRESS,REMOTE_ADDRESS,CWND,SEQ_NO,ACK_NO,isSyn,isAck,isFin,SEGMENT_LEN,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,
0,N/A,Control_Packet,TCP_SYN,NODE-3,NODE-2,NODE-3,ROUTER-1,N/A,1000000.000,1000000.000,1000000.000,1000000.000,1000005.600,1000010.600,N/A,0.000,24.000,44.000,70.000,0.000,Successful,11.2.1.2:36934,11.2.1.1:82,65535,250000,0,True,False,False,0,11.2.1.2,11.2.1.1,11.2.1.2,11.2.1.1,
0,N/A,Control_Packet,TCP_SYN,NODE-3,NODE-2,ROUTER-1,NODE-2,N/A,1000000.000,1000010.600,1000010.600,1000010.600,1000016.200,1000021.200,N/A,0.000,24.000,44.000,70.000,0.000,Successful,11.2.1.2:36934,11.1.1.2:82,65535,250000,0,True,False,False,0,11.2.1.2,11.1.1.2,11.1.1.1,11.1.1.2,
0,N/A,Control_Packet,TCP_SYNACK,NODE-2,NODE-3,NODE-2,ROUTER-1,N/A,1000021.200,1000021.200,1000021.200,1000021.200,1000026.800,1000031.800,N/A,0.000,24.000,44.000,70.000,0.000,Successful,11.1.1.2:82,11.1.1.1:36934,4380,250005,250001,True,True,False,0,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
0,N/A,Control_Packet,TCP_SYNACK,NODE-2,NODE-3,ROUTER-1,NODE-3,N/A,1000021.200,1000031.800,1000031.800,1000031.800,1000037.400,1000042.400,N/A,0.000,24.000,44.000,70.000,0.000,Successful,11.1.1.2:82,11.2.1.2:36934,4380,250005,250001,True,True,False,0,11.1.1.2,11.2.1.2,11.2.1.1,11.2.1.2,
0,N/A,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,ROUTER-1,N/A,1000042.400,1000042.400,1000042.400,1000042.400,1000047.680,1000052.680,N/A,0.000,20.000,40.000,66.000,0.000,Successful,11.2.1.2:36934,11.2.1.1:82,4380,250001,250006,False,True,False,0,11.2.1.2,11.2.1.1,11.2.1.2,11.2.1.1,
0,N/A,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-1,NODE-2,N/A,1000042.400,1000052.680,1000052.680,1000052.680,1000057.960,1000062.960,N/A,0.000,20.000,40.000,66.000,0.000,Successful,11.2.1.2:36934,11.1.1.2:82,4380,250001,250006,False,True,False,0,11.2.1.2,11.1.1.2,11.1.1.1,11.1.1.2,
0,0,HTTP,HTTP_REQUEST,NODE-3,NODE-2,NODE-3,ROUTER-1,1000000.000,0.000,1000042.400,1000042.400,1000048.640,1000113.920,1000118.920,750.000,750.000,770.000,790.000,816.000,0.000,Successful,11.2.1.2:36934,11.2.1.1:82,4380,250001,0,False,False,False,750,11.2.1.2,11.2.1.1,11.2.1.2,11.2.1.1,
0,0,HTTP,HTTP_REQUEST,NODE-3,NODE-2,ROUTER-1,NODE-2,1000000.000,0.000,1000118.920,1000118.920,1000118.920,1000184.200,1000189.200,750.000,750.000,770.000,790.000,816.000,0.000,Successful,11.2.1.2:36934,11.1.1.2:82,4380,250001,0,False,False,False,750,11.2.1.2,11.1.1.2,11.1.1.1,11.1.1.2,
0,N/A,Control_Packet,TCP_ACK,NODE-2,NODE-3,NODE-2,ROUTER-1,N/A,1000189.200,1000189.200,1000189.200,1000189.200,1000194.480,1000199.480,N/A,0.000,20.000,40.000,66.000,0.000,Successful,11.1.1.2:82,11.1.1.1:36934,4381,250006,250751,False,True,False,0,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
0,N/A,Control_Packet,TCP_ACK,NODE-2,NODE-3,ROUTER-1,NODE-3,N/A,1000189.200,1000199.480,1000199.480,1000199.480,1000204.760,1000209.760,N/A,0.000,20.000,40.000,66.000,0.000,Successful,11.1.1.2:82,11.2.1.2:36934,4381,250006,250751,False,True,False,0,11.1.1.2,11.2.1.2,11.2.1.1,11.2.1.2,
1,1,HTTP,APP1_HTTP,NODE-2,NODE-3,NODE-2,ROUTER-1,1000189.200,0.000,1000189.200,1000189.200,1000195.440,1000317.520,1000322.520,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,11.1.1.2:82,11.1.1.1:36934,4381,250006,0,False,False,False,1460,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
1,2,HTTP,APP1_HTTP,NODE-2,NODE-3,NODE-2,ROUTER-1,1000189.200,0.000,1000189.200,1000189.200,1000318.480,1000440.560,1000445.560,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,11.1.1.2:82,11.1.1.1:36934,4381,251466,0,False,False,False,1460,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
